id,name,project_manager_id,budget,status,is_active,is_successful,start_date,end_date
1,Alpha,5,5000,Completed,0,1,01-01-2024,14-01-2024
2,Bravo,11,5000,Completed,0,1,08-01-2024,21-01-2024
3,Charlie,17,7000,Completed,0,1,15-01-2024,28-01-2024
4,Delta,5,5000,Completed,0,1,22-01-2024,04-02-2024
5,Echo,11,4000,Completed,0,1,29-01-2024,11-02-2024
6,Foxtrot,17,7000,Completed,0,1,05-02-2024,18-02-2024
7,Golf,5,4000,Completed,0,1,12-02-2024,25-02-2024
8,Hotel,11,5000,Completed,0,1,19-02-2024,03-03-2024
9,India,17,5000,Completed,0,1,26-02-2024,10-03-2024
10,Juliett,5,7000,Completed,0,1,04-03-2024,17-03-2024
11,Kilo,11,4000,Completed,0,0,01-01-2024,14-01-2024
12,Lima,17,4000,Completed,0,0,08-01-2024,21-01-2024
13,Mike,21,4000,Completed,0,0,15-01-2024,28-01-2024
14,November,11,8000,Completed,0,0,22-01-2024,04-02-2024
15,Oscar,17,5000,Completed,0,0,29-01-2024,11-02-2024
16,Papa,21,4000,Completed,0,0,05-02-2024,18-02-2024
17,Quebec,11,6000,Completed,0,0,12-02-2024,25-02-2024
18,Romeo,17,5000,Completed,0,0,19-02-2024,03-03-2024
19,Sierra,21,6000,Completed,0,0,26-02-2024,10-03-2024
20,Tango,11,5000,Completed,0,0,04-03-2024,17-03-2024
21,Uniform,5,7000,Confirmed,1,,11-03-2024,
22,Victor,11,6000,Confirmed,1,,18-03-2024,
23,Whiskey,17,7000,Confirmed,1,,25-03-2024,
24,X-ray,21,5000,Confirmed,1,,01-04-2024,
25,Yankee,5,6000,Confirmed,1,,08-04-2024,
26,Zulu,11,4000,Confirmed,1,,15-04-2024,
